Country Name,Country Code,Series Name,Series Code,Time,Time Code,Value
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,63.66302439
Eritrea,ERI,"Population, total",SP.POP.TOTL,2014,YR2014,NA
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,19941.4527
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,77.23902439
Estonia,EST,"Population, total",SP.POP.TOTL,2014,YR2014,1314545
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,573.5659603
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,64.03502439
Ethiopia,ETH,"Population, total",SP.POP.TOTL,2014,YR2014,96958732
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
Faroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,81.69268293
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,2014,YR2014,48221
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,5042.371396
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,70.08912195
Fiji,FJI,"Population, total",SP.POP.TOTL,2014,YR2014,886450
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,49887.89697
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,81.12926829
Finland,FIN,"Population, total",SP.POP.TOTL,2014,YR2014,5461512
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,42696.77883
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,82.37317073
France,FRA,"Population, total",SP.POP.TOTL,2014,YR2014,66495940
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,76.54168293
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2014,YR2014,279781
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,10772.06175
